Gender,Age,Income (USD),Income Stability,Property Age,Property Location,Property Price,Loan Sanction Amount (USD)
M,64,1898.59,Low,1909.59,Semi-Urban,83879.41,25359.98907
M,35,2424.95,Low,2423.95,Rural,113249.53,38327.6649
M,60,2721.53,Low,2720.53,Urban,119364.13,38569.39688
M,64,2911.47,High,2924.47,Semi-Urban,159003.22,62839.71282
M,50,1849.42,Low,1852.42,Urban,49414.89,14973.90458
F,60,2275.51,Low,2290.51,Semi-Urban,160204.64,51938.77658
M,44,1009.06,Low,1003.06,Rural,167468,54377.99225
F,18,1369.58,Low,1355.58,Urban,204009.46,69172.47385
M,61,1033.51,High,1027.51,Rural,221004.95,82249.88215
M,50,5055.52,Low,5060.52,Semi-Urban,299976.39,102282.179
M,20,2454.03,Low,2458.03,Urban,49231.13,17904.10409
F,30,2742.38,Low,2742.38,Rural,97781.63,34088.74288
F,24,1826.01,Low,1809.01,Semi-Urban,92147.26,31449.26589
F,64,962.86,Low,961.86,Urban,52018.51,14068.72347
M,18,2189.19,Low,2185.19,Semi-Urban,231551.38,78893.17928
F,38,2237.26,Low,2226.26,Rural,156530.02,52668.07412
M,63,1523.33,Low,1508.33,Semi-Urban,116712.83,36071.23136
M,35,5491.94,Low,5483.94,Rural,55529.99,22071.5338
F,37,1667.48,Low,1656.48,Rural,166232.33,55423.67632
F,60,2893.12,Low,2880.12,Urban,185445.13,61172.45687
F,18,1860.33,Low,1859.33,Semi-Urban,177202.1,60538.14902
M,25,3778.09,Low,3781.09,Urban,107265.19,38356.34436
F,61,1340.96,High,1344.96,Rural,117560.68,48057.47536
F,54,8573.45,Low,8562.45,Semi-Urban,186771.2,67764.12481
M,62,2281.95,High,2293.95,Semi-Urban,139480.07,55795.62803
M,36,2505.03,Low,2507.03,Rural,150970.74,51003.00084
M,46,2065.74,Low,2075.74,Rural,324261.08,107977.2098
F,65,1322.32,High,1334.32,Rural,252879.88,93181.47848
F,37,1207.4,Low,1207.4,Urban,21071.08,6059.517734
M,18,2461.71,Low,2457.71,Rural,173013.09,59783.83696
F,31,5488.43,Low,5474.43,Rural,73021.84,28493.33778
M,58,1978.02,Low,1978.02,Semi-Urban,69721.33,21154.34591
F,59,1932.82,Low,1937.82,Rural,100317.04,31821.09306
F,30,2461.65,Low,2455.65,Urban,117088.34,40146.11295
M,18,1508.82,Low,1513.82,Urban,88729.48,30364.28561
F,62,10069.78,Low,10058.78,Semi-Urban,208056.36,75811.30347
M,23,2548.54,Low,2557.54,Urban,130915.56,45204.79699
F,45,2821.71,Low,2818.71,Urban,32853.69,11033.77896
M,62,2925.85,Low,2919.85,Rural,365956.71,121588.9244
M,61,1990.66,Low,1996.66,Rural,29912.44,7836.450943
F,18,1916.34,Low,1911.34,Rural,55702.82,20055.99219
F,30,1525.77,Low,1523.77,Rural,78999.96,26534.67776
M,54,1231.72,Low,1221.72,Rural,99198.68,30880.06126
M,18,2494.85,Low,2483.85,Semi-Urban,58500.13,21072.09444
F,18,2216.47,Low,2226.47,Semi-Urban,70003.78,24898.70073
M,46,801.92,Low,814.92,Rural,47527.68,13728.24408
F,36,1364.85,Low,1371.85,Semi-Urban,137887.89,45405.5527
F,29,4028.03,Low,4030.03,Urban,197364.83,68796.8814
F,36,2606.4,Low,2588.4,Rural,179907.27,61052.87931
M,24,3281.06,Low,3278.06,Rural,123318.67,43454.57064
F,28,1621.32,Low,1630.32,Semi-Urban,59003.47,19803.42045
M,18,4232.66,Low,4224.66,Semi-Urban,160123.15,56987.06084
F,18,1612.81,Low,1610.81,Semi-Urban,93237.69,32079.84998
M,44,1235.44,Low,1221.44,Semi-Urban,56736.45,17133.55887
M,65,1242.03,High,1237.03,Rural,46547.36,23544.72708
M,49,2721.31,Low,2728.31,Rural,155636.4,51765.59392
M,64,1469.5,Low,1468.5,Semi-Urban,83251.25,24704.08023
M,33,1478.15,Low,1486.15,Rural,60820.62,19910.80508
F,55,1519.69,Low,1525.69,Rural,122565.69,39189.17739
F,45,1527.67,Low,1519.67,Rural,93577.98,30243.90531
M,62,940.95,High,938.95,Urban,119938.21,47990.73951
M,63,2396.86,Low,2398.86,Urban,47951.33,14013.17735
M,54,1105,Low,1099,Semi-Urban,104216.13,32162.22344
M,18,1379.78,Low,1382.78,Rural,56228.5,19451.69545
F,52,3037.45,Low,3048.45,Urban,62179.08,20558.56428
F,42,4850.17,Low,4839.17,Semi-Urban,163703.49,57157.41623
F,50,1992.27,Low,2002.27,Semi-Urban,72277.78,22901.92762
M,32,2601.45,Low,2616.45,Rural,175341.15,59610.98729
M,52,1340.78,Low,1340.78,Semi-Urban,81456.84,24919.47222
M,64,1853.54,Low,1848.54,Semi-Urban,111218.06,34489.13398
F,46,3532.15,Low,3533.15,Semi-Urban,366497.29,123620.3351
F,24,3814.94,Low,3809.94,Urban,556390.54,189572.1199
M,18,8621.03,Low,8626.03,Rural,442961.93,156765.8232
F,18,1889.52,Low,1885.52,Semi-Urban,43067.55,15509.0061
M,31,3513.82,Low,3527.82,Urban,286175.24,97715.20716
M,28,1666.72,Low,1672.72,Rural,35586.58,12021.70683
M,24,3644.53,Low,3631.53,Urban,204932.89,71098.4882
F,31,5107.37,Low,5112.37,Rural,236791.29,83125.58589
F,22,2048.07,Low,2057.07,Urban,101383.61,35088.3071
F,53,4478.71,Low,4484.71,Semi-Urban,68053.95,23786.24264
M,45,4957.71,Low,4950.71,Semi-Urban,287957.2,98534.1614
F,56,3065.06,Low,3073.06,Rural,32595.02,10469.05246
F,23,2376.18,Low,2383.18,Rural,185488.43,63733.40394
F,44,1456.88,Low,1456.88,Semi-Urban,61101.1,19069.59957
M,40,1140.9,Low,1149.9,Urban,237605.84,78259.20249
M,46,2035.21,Low,2040.21,Semi-Urban,102958.39,33329.39048
F,19,2388.91,Low,2394.91,Semi-Urban,167146.51,57625.32549
M,50,3266.78,Low,3251.78,Rural,113984.95,38241.77342
F,30,966.93,Low,965.93,Urban,28849.12,8979.593167
M,34,1940,Low,1935,Rural,48900.62,16293.24272
F,18,3383.2,Low,3393.2,Rural,127044.08,45528.01506
M,61,1731.47,Low,1747.47,Urban,204058.68,65936.54392
M,63,2282.05,Low,2288.05,Urban,56400.25,16735.92019
M,48,1531.23,Low,1529.23,Urban,30372.78,8407.713062
F,27,1882.73,Low,1887.73,Urban,134361.67,45599.40384
M,28,3108.87,Low,3095.87,Semi-Urban,173797.65,59637.74803
F,65,2836.74,High,2842.74,Semi-Urban,80420.33,36519.95537
F,33,5258.12,Low,5245.12,Semi-Urban,45089.7,18441.65306
M,18,2181.65,Low,2185.65,Rural,104512.35,36491.30393
M,33,2066.9,Low,2056.9,Urban,12559.17,4154.14611
M,55,4826.26,Low,4817.26,Urban,78589.5,27416.32732
F,18,1737.36,Low,1728.36,Semi-Urban,18224.95,7005.921056
F,19,1313.23,Low,1299.23,Urban,37836.62,13216.2314
M,28,2052.83,Low,2047.83,Rural,69552.04,23820.31919
F,18,1556.92,Low,1560.92,Urban,62805.29,21941.01136
F,18,2817.21,Low,2825.21,Semi-Urban,104130.89,36975.68513
M,47,2065.3,Low,2053.3,Rural,38246.02,11810.40355
M,47,1722.58,Low,1710.58,Semi-Urban,62295.19,19262.63997
F,28,2264.01,Low,2276.01,Semi-Urban,101381.92,34697.58463
F,23,2107.94,Low,2096.94,Semi-Urban,132351.91,45324.96739
F,42,1847.35,Low,1844.35,Rural,290290.57,96888.86455
M,45,1395.03,Low,1395.03,Urban,94682.25,30109.1289
M,18,1103.42,Low,1103.42,Semi-Urban,39844.59,13388.28202
F,24,2833.37,Low,2850.37,Urban,74149.33,26588.86386
M,18,1597.01,Low,1593.01,Urban,11011.5,4343.430506
F,38,2416.57,Low,2416.57,Rural,148654.39,50211.53024
F,64,2638.51,Low,2652.51,Rural,63372.47,19741.63197
F,20,1761.54,Low,1761.54,Rural,172815.91,59081.78424
M,51,3388.91,Low,3376.91,Semi-Urban,54618.45,18071.41411
M,21,1332.67,Low,1335.67,Urban,73244.39,24744.18989
F,46,4048.88,Low,4045.88,Semi-Urban,230320.94,78403.34999
F,23,947.57,Low,943.57,Urban,26638.94,8769.575642
M,25,2602.83,Low,2595.83,Semi-Urban,86441.71,30016.73789
F,19,1891.12,Low,1908.12,Semi-Urban,101036.84,34914.8761
M,52,1525.74,Low,1529.74,Semi-Urban,99440.04,31151.42824
M,56,4734.38,Low,4729.38,Semi-Urban,187689.06,63755.34433
F,47,1708.03,Low,1711.03,Urban,30975.13,9108.80805
M,57,6738.11,Low,6744.11,Semi-Urban,322733.46,111093.8679
F,28,1403.77,Low,1390.77,Urban,247984.02,83188.48897
M,52,2178.64,Low,2176.64,Urban,49489.19,15174.73967
F,60,996.44,High,1003.44,Urban,43645.16,22818.82185
F,18,6806.74,Low,6816.74,Urban,219942.02,80096.4672
M,18,1032.58,Low,1043.58,Rural,49756.57,16926.75415
M,50,5640.08,Low,5640.08,Semi-Urban,434150.84,147948.2258
M,18,2819.43,Low,2830.43,Semi-Urban,43919.71,16517.49868
M,52,2556.07,Low,2559.07,Rural,62521.61,20078.85357
F,20,2948.35,Low,2934.35,Urban,54038.56,20251.55322
F,18,3241.38,Low,3235.38,Rural,90188.79,32994.66775
M,42,3084.26,Low,3089.26,Rural,39917.22,13817.93993
F,57,2857.29,Low,2849.29,Urban,158559.6,52344.50959
F,57,3160.81,Low,3159.81,Rural,189632.55,63234.1068
M,58,3351.92,Low,3345.92,Urban,104202.65,34276.72937
M,51,8377.74,Low,8366.74,Rural,262525.86,93287.66702
F,62,1764.2,Low,1765.2,Urban,12781.57,1867.19481
M,45,3049.31,Low,3061.31,Semi-Urban,58497.32,19514.02067
F,35,2442.41,Low,2432.41,Semi-Urban,51140.79,17438.40197
F,37,3434.15,Low,3429.15,Rural,95059.29,33325.34975
F,65,1576.37,High,1574.37,Semi-Urban,46778.19,23926.25972
M,22,2115.55,Low,2110.55,Urban,71073.6,24732.33419
F,34,5010.17,Low,4996.17,Semi-Urban,86701.58,32086.44046
F,51,2075.54,Low,2069.54,Semi-Urban,66144.87,20839.66897
F,25,2590.07,Low,2585.07,Urban,39943.64,14759.60812
M,57,3629.78,Low,3627.78,Rural,49288.67,16333.5845
M,61,1700.01,Low,1697.01,Semi-Urban,114819.82,35780.35698
F,56,3102.9,Low,3090.9,Urban,134374.38,44548.60407
F,46,4966.59,Low,4961.59,Rural,269574.06,92802.07172
M,41,1882.67,Low,1867.67,Urban,102486.69,33538.1278
M,62,1689,High,1684,Rural,46373.17,24180.58157
M,22,2090.21,Low,2085.21,Rural,81468.57,28336.08634
F,24,4094.38,Low,4080.38,Semi-Urban,393856.25,135118.114
M,51,2273.71,Low,2258.71,Semi-Urban,224680.43,74055.45667
M,61,2448.59,Low,2463.59,Urban,62380.5,19077.8689
M,60,2301.1,Low,2286.1,Semi-Urban,21319.83,5060.167902
F,61,3796.86,Low,3796.86,Rural,216722.74,72668.51999
M,61,2210.7,Low,2203.7,Rural,157394.09,50877.47252
F,39,2179.51,Low,2178.51,Urban,84603.43,28236.13163
F,61,2568.46,Low,2552.46,Rural,162985.25,53353.14806
F,23,765.3,Low,767.3,Semi-Urban,51516.14,16804.9581
M,24,1736.14,Low,1723.14,Rural,145103.32,49187.43083
F,65,3275.43,High,3275.43,Rural,29019.68,19975.08456
F,58,3885.83,Low,3879.83,Semi-Urban,286414.73,96128.42003
F,18,3586.19,Low,3573.19,Rural,277422.89,96237.92912
M,18,2130.47,Low,2112.47,Rural,233499.25,79756.01961
F,58,2287.77,Low,2270.77,Rural,50111.95,15387.39365
M,45,1074.28,Low,1067.28,Semi-Urban,31879.3,8543.412968
F,47,1943.69,Low,1939.69,Urban,132619.25,43489.72307
M,64,1274.55,Low,1271.55,Rural,79644.11,23567.75694
M,40,1321.47,Low,1327.47,Urban,28401.67,8168.037942
F,63,1178.72,Low,1170.72,Semi-Urban,27546.93,6006.80694
F,19,1161.18,Low,1171.18,Semi-Urban,66461.18,22550.503
M,29,4085.13,Low,4094.13,Urban,259501.15,89494.89894
F,18,2460.5,Low,2457.5,Rural,85153.92,30506.43601
F,38,4818.54,Low,4805.54,Semi-Urban,50772.3,19505.48704
F,58,2869.51,Low,2867.51,Semi-Urban,345908.5,115075.9197
M,41,2028.87,Low,2036.87,Urban,138025.38,45637.27056
M,62,3344.53,High,3345.53,Urban,65227.84,32072.16749
M,47,3471.42,Low,3473.42,Semi-Urban,165488.28,55721.91511
M,44,2069.15,Low,2065.15,Semi-Urban,159431.54,52487.7366
M,38,2896.03,Low,2898.03,Semi-Urban,85271.12,28899.56208
F,55,6499.16,Low,6490.16,Semi-Urban,111458.39,40266.46639
F,26,1977.67,Low,1974.67,Urban,199958.83,67806.39924
M,50,4747.35,Low,4749.35,Rural,91431.88,32188.56914
M,42,1759.01,Low,1777.01,Semi-Urban,148559.65,48688.05922
M,22,4360.37,Low,4362.37,Urban,104478.48,38252.47124
M,56,1614.85,Low,1610.85,Rural,88047.72,27370.94224
M,27,6793.27,Low,6781.27,Semi-Urban,254015.86,90431.14599
F,38,1870.21,Low,1860.21,Rural,60409.09,20005.04631
F,26,2821.82,Low,2820.82,Semi-Urban,34739.27,13033.4472
M,45,1377.58,Low,1386.58,Semi-Urban,127486.51,40977.37987
M,57,3783.08,Low,3797.08,Urban,318850.65,106909.8669
F,57,6240.09,Low,6240.09,Semi-Urban,296042.98,101852.1949
F,54,3287.12,Low,3281.12,Rural,191870.51,64349.78448
F,36,3052.67,Low,3039.67,Semi-Urban,197362.75,67099.55318
F,27,1566.64,Low,1566.64,Urban,103382.23,34867.25127
F,63,3489.42,High,3495.42,Rural,344569.64,126352.321
M,18,1738.38,Low,1737.38,Urban,128579.54,43982.0839
M,26,2930.56,Low,2943.56,Urban,54055.39,19541.87688
F,50,3476.27,Low,3479.27,Urban,209197.97,70546.86851
M,53,4359.45,Low,4354.45,Semi-Urban,179037.41,60703.07954
F,65,2268.84,High,2259.84,Semi-Urban,220491.87,82983.34488
F,18,3326.02,Low,3336.02,Urban,275864.29,95322.2337
M,28,4858.86,Low,4853.86,Semi-Urban,146164.29,52148.90585
F,20,1174.21,Low,1180.21,Urban,55561.78,18959.29694
F,59,2030.25,Low,2039.25,Urban,59319.54,18013.33276
F,23,3248.25,Low,3246.25,Urban,92260.89,33166.38906
M,46,2460.39,Low,2457.39,Urban,304227.76,101506.8086
F,18,1593.93,Low,1599.93,Rural,45417.29,16276.89829
F,39,2924.4,Low,2917.4,Urban,101458.34,34656.52579
M,45,1967.17,Low,1963.17,Semi-Urban,109594.71,35563.54236
F,43,2360.18,Low,2365.18,Urban,25155.21,8138.127313
M,33,1973,Low,1965,Semi-Urban,44537.6,14663.23753
M,26,2597.46,Low,2593.46,Urban,129973.53,44694.41706
F,28,1236.41,Low,1241.41,Rural,47028.35,15660.92247
M,37,1756.28,Low,1752.28,Rural,168005.08,55877.23763
M,35,2382.84,Low,2387.84,Rural,30009.12,10326.18776
M,60,2202.11,Low,2187.11,Urban,39755.55,11289.59666
F,31,914.45,Low,913.45,Rural,19485.64,5839.379397
M,18,3432.09,Low,3439.09,Semi-Urban,58961.79,22194.75129
F,62,2317.47,Low,2321.47,Urban,58154.35,17675.75495
M,38,1860.49,Low,1862.49,Rural,49169.66,15989.4697
F,22,3118.7,Low,3128.7,Semi-Urban,159516.75,55573.3708
F,27,2433.12,Low,2432.12,Rural,139799.44,48123.61725
M,34,1892.31,Low,1888.31,Urban,150151.87,50118.67357
F,60,1618.91,Low,1632.91,Urban,92734.21,28740.56864
M,52,971.56,Low,971.56,Rural,62808.01,18553.28131
F,58,3467.77,Low,3450.77,Urban,53592.64,17625.34743
M,43,1703.16,Low,1691.16,Urban,152236.18,49909.3621
M,41,2847.65,Low,2854.65,Rural,84152.09,28515.16309
M,18,1263.28,Low,1254.28,Semi-Urban,71437.32,24159.53515
M,50,2231.45,Low,2231.45,Urban,43780.51,13470.3582
F,59,2797.52,Low,2790.52,Semi-Urban,67941.81,21548.1887
M,21,2533.73,Low,2522.73,Semi-Urban,152044.31,52297.18338
F,59,5513.37,Low,5528.37,Semi-Urban,215535.54,73915.09712
M,65,3082.22,High,3075.22,Urban,124587.68,51502.24043
F,45,3061.22,Low,3060.22,Semi-Urban,194780.66,65535.12417
F,23,2676.44,Low,2682.44,Semi-Urban,47428.16,17388.03995
F,37,2110.66,Low,2109.66,Urban,133136.02,44626.63863
F,60,1689.59,Low,1688.59,Semi-Urban,41495.11,11455.4605
M,64,3417.19,Low,3421.19,Urban,92549.63,29959.55621
M,48,5613.72,Low,5612.72,Urban,119247.32,42436.84155
F,24,2974.15,Low,2990.15,Rural,252664.37,86835.58572
F,18,3241.84,Low,3242.84,Urban,71029.38,26424.96945
F,55,4634.35,Low,4624.35,Semi-Urban,234680.72,79750.99754
M,38,2704.45,Low,2696.45,Rural,122521.67,41487.19891
F,44,1395.85,Low,1393.85,Semi-Urban,273669.05,90410.37897
M,63,3037.98,High,3048.98,Semi-Urban,212471.09,81007.67904
M,18,1003.88,Low,1018.88,Urban,172722.64,58067.41419
M,63,4035.98,High,4031.98,Urban,211778.91,81925.86927
F,18,1284.74,Low,1288.74,Urban,116151.83,39582.45697
M,49,2794.97,Low,2790.97,Semi-Urban,68030.87,22131.77925
M,23,2944.97,Low,2948.97,Rural,129412.02,45240.41754
F,64,2268.89,High,2254.89,Urban,109854.02,46033.18499
F,41,1006.08,Low,1006.08,Semi-Urban,49159.08,14834.47771
F,18,928.83,Low,937.83,Semi-Urban,75353.17,25378.43708
M,56,3102.97,Low,3101.97,Urban,316625.73,105538.4775
F,56,4165.65,Low,4179.65,Semi-Urban,265873.19,89682.82957
M,48,1548.78,Low,1554.78,Urban,97637.05,31024.65081
M,55,3694.01,Low,3687.01,Rural,89464.59,30050.50733
M,26,3809.49,Low,3822.49,Urban,66897.26,24754.37169
M,45,1701.02,Low,1709.02,Urban,64150.8,20170.21741
M,36,3803.32,Low,3814.32,Rural,213955.06,73492.38478
M,18,1529.48,Low,1529.48,Rural,24814.16,9050.771587
M,22,3412.55,Low,3408.55,Semi-Urban,171904.04,59791.42509
F,64,964.78,Low,977.78,Semi-Urban,35398.52,8357.119666
M,39,1685.16,Low,1684.16,Urban,167253.77,55257.59748
M,51,4642.58,Low,4642.58,Urban,186367.32,82323.07
F,47,2441.55,Low,2432.55,Urban,58455.89,19083.86282
M,25,2684.74,Low,2682.74,Urban,94190.04,32843.67594
F,18,1777.75,Low,1788.75,Rural,130589.89,45077.95187
F,65,1311.44,High,1321.44,Urban,48293.32,24308.30567
M,18,1944.89,Low,1944.89,Rural,38848.26,14189.77796
M,18,1356.33,Low,1342.33,Rural,126765.38,43113.23692
M,36,2244.2,Low,2245.2,Rural,110056.21,36992.07976
F,26,1988.57,Low,1974.57,Semi-Urban,117178.34,39867.06433
M,32,3796.85,Low,3800.85,Rural,80876.38,29095.83508
M,60,2820.57,High,2815.57,Semi-Urban,225072.01,85247.30781
M,62,2501.85,Low,2499.85,Rural,213945.98,70095.11979
M,18,1849.8,Low,1837.8,Rural,119152.68,41061.65791
M,26,1197.15,Low,1194.15,Semi-Urban,182399.56,60735.72734
M,18,1297.31,Low,1312.31,Urban,369398.16,124433.2057
F,35,6737.65,Low,6742.65,Urban,88532.5,34536.38011
M,18,2600.64,Low,2601.64,Semi-Urban,271630.95,92779.68883
M,36,964.14,Low,952.14,Semi-Urban,59949.45,18569.29503
F,54,2788.62,Low,2791.62,Rural,102016.28,33661.49461
F,65,4598.27,High,4597.27,Urban,101879.61,45663.93476
M,52,2243.83,Low,2229.83,Rural,45644.55,14081.66669
M,37,4044.35,Low,4046.35,Semi-Urban,93182.46,32810.40171
F,59,1611.9,Low,1623.9,Semi-Urban,44121.52,12344.01437
F,48,4136.18,Low,4142.18,Urban,229686.17,78263.64618
F,25,2475.02,Low,2458.02,Rural,68894.3,24498.57802
M,61,4294.16,Low,4296.16,Urban,141559.5,47555.62066
M,60,2044.71,High,2045.71,Semi-Urban,131583.44,53053.04927
M,23,1553.05,Low,1542.05,Semi-Urban,159764.09,53729.34556
F,41,1601.93,Low,1606.93,Rural,143167.17,47300.5327
M,36,3271.28,Low,3258.28,Rural,161181.53,55208.79299
F,51,2745.41,Low,2741.41,Rural,82897,27428.64519
F,18,1354.14,Low,1347.14,Rural,52810.47,18508.51475
M,43,1201.42,Low,1211.42,Semi-Urban,12279.99,2256.672189
M,31,3136.72,Low,3144.72,Semi-Urban,251531.11,85551.27825
M,60,875.24,High,893.24,Rural,60182.95,28157.31664
F,50,1564.68,Low,1562.68,Semi-Urban,52460.85,15801.807
F,51,1558.73,Low,1558.73,Semi-Urban,165424.91,53663.66716
M,18,2259.56,Low,2246.56,Semi-Urban,43757.87,15878.36785
F,28,2853.46,Low,2839.46,Semi-Urban,143279.27,49360.8737
M,18,1611.89,Low,1625.89,Rural,130623.48,44684.85961
M,37,5333.07,Low,5329.07,Semi-Urban,364795.12,125363.1752
M,56,4795.28,Low,4787.28,Urban,45390.16,16153.98459
F,30,2784.66,Low,2795.66,Semi-Urban,58310.05,20602.87883
M,41,1839.95,Low,1834.95,Semi-Urban,84497.79,27318.99835
F,55,1548.74,Low,1543.74,Urban,40382.07,11468.89782
M,18,1535.6,Low,1529.6,Rural,140818.2,48021.15637
F,51,2466.02,Low,2470.02,Urban,143491.32,47363.56313
M,60,2312.22,Low,2319.22,Rural,141291.28,45658.41213
M,59,6282.64,Low,6265.64,Semi-Urban,182989.6,63516.46137
F,39,1957.41,Low,1953.41,Urban,210302.57,70231.38767
F,47,1635.67,Low,1635.67,Rural,76098.62,24328.68616
F,37,2144.7,Low,2153.7,Semi-Urban,300682.26,100809.5527
F,18,1609.27,Low,1618.27,Semi-Urban,80195.85,27700.93853
M,18,1635.09,Low,1618.09,Urban,217656.06,73790.1909
F,18,3287.89,Low,3273.89,Rural,86699.75,31866.12466
F,28,2219.95,Low,2207.95,Urban,49496.75,17349.25326
F,18,2116.28,Low,2120.28,Semi-Urban,49569.82,17929.16324
M,35,1018.38,Low,1015.38,Rural,49047.46,15322.08066
F,23,5031.87,Low,5038.87,Urban,143194.89,52104.19632
F,39,2119.66,Low,2129.66,Semi-Urban,48082.15,15774.74107
F,18,3509.04,Low,3515.04,Rural,279919.32,97007.33525
F,25,1556.62,Low,1547.62,Urban,186930.52,63075.52102
M,61,3008.55,Low,3004.55,Rural,97526.49,31584.58075
M,46,1720.84,Low,1733.84,Urban,116972.92,37857.53971
M,45,1609.7,Low,1609.7,Urban,40682.44,12189.43484
F,30,2059.71,Low,2066.71,Rural,23338.06,8387.73871
F,53,2304.05,Low,2305.05,Urban,28323.68,8351.957908
M,18,1836.8,Low,1840.8,Rural,119152.68,41056.54515
F,30,1970.89,Low,1964.89,Rural,112223.94,38148.13752
F,61,2124.62,Low,2127.62,Rural,118053.8,37815.98206
M,48,1998.09,Low,1990.09,Rural,98750.14,31988.70086
F,56,2274.09,Low,2273.09,Urban,493053.73,164191.5649
M,34,1690.35,Low,1680.35,Semi-Urban,79593.81,26069.90031
F,60,1021.6,Low,1015.6,Rural,33549.99,8376.714184
F,32,2072.23,Low,2076.23,Semi-Urban,51226.53,17333.14973
F,18,2369.1,Low,2385.1,Semi-Urban,121989.1,42520.35362
F,41,2633.37,Low,2632.37,Urban,180086.41,60615.93178
M,36,3039.97,Low,3031.97,Rural,261113.3,88543.14267
M,59,2082.36,Low,2087.36,Urban,37314.32,10436.43786
